description,key,name,scientific_name,type,wikipedia_url,degrades_to,precursors,subtype,cas_number,chemical_formula,molar_mass,density,boiling_point,image_url,chemical_formula_image_url
"Cannabichromene (CBC), also called cannabichrome, cannanbichromene, pentylcannabichromene or cannabinochromene, exhibits anti-inflammatory properties in vitro, which may, theoretically, contribute to cannabis analgesic effects.
It is a phytocannabinoid, one of the hundreds of cannabinoids found in the Cannabis plant. It bears structural similarity to the other natural cannabinoids, including tetrahydrocannabinol (THC), tetrahydrocannabivarin (THCV), cannabidiol (CBD), and cannabinol (CBN), among others.",cbc,CBC,Cannabichromene,cannabinoid,https://en.wikipedia.org/wiki/Cannabichromene,[],['cbca'],,,C21H30O2,314.469,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/cannabinoids/cbc.png,
,cbca,CBCA,Cannabichromenenic acid,cannabinoid,https://en.wikipedia.org/wiki/Cannabichromenic_acid,['cbc'],[],,,C22H30O4,358.478,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/cannabinoids/cbca.png,
"Cannabichromevarin (CBCV), also known as cannabivarichromene) is one of over 100 variants of cannabinoid chemical compounds that act on cannabinoid receptors. CBCV is a phytocannabinoid found naturally in cannabis, and is a propyl cannabinoid and an effective anticonvulsant and used to treat brain cancer and epilepsyCBCV was first identified at the University of Nagasaki in 1975 from marijuana from Thailand. CBCV is not thought to be psychoactive or impairing in any way, and is believed to be safe for children and adults and is a compound found in medical marijuana.",cbcv,CBCV,Cannabichromevarin,cannabinoid,https://en.wikipedia.org/wiki/Cannabichromevarin,[],[],,,C19H26O2,286.415,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/cannabinoids/cbcv.png,
"Cannabitriol ((+)-CBT, (S,S)-9,10-Dihydroxy-Δ6a(10a)-THC) is a phytocannabinoid first isolated in 1966, an oxidation product of tetrahydrocannabinol which has been identified both as a trace component of cannabis and as a metabolite in cannabis users. Its pharmacology has been little studied, though it has been found to act as an antiestrogen and aromatase inhibitor.",cbt,CBT,Cannabitriol,cannabinoid,https://en.wikipedia.org/wiki/Cannabitriol,[],[],,,C21H30O4,346.467,,,,
"Cannabicyclol (CBL) is a non-psychoactive cannabinoid found in Cannabis. CBL is a degradative product like cannabinol, with cannabichromene degrading into CBL through natural irradiation or under acid conditions.CBL is not scheduled under the Convention on Psychotropic Substances.",cbl,CBL,Cannabicyclol,cannabinoid,https://en.wikipedia.org/wiki/Cannabicyclol,[],[],,,C21H30O2,314.469,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/cannabinoids/cbl.png,
,cbla,CBLA,Cannabicyclolic acid,cannabinoid,https://en.wikipedia.org/wiki/Cannabicyclolic_acid,['cbl'],[],,,,,,,,
,beta_pinene,beta-Pinene,,terpene,https://en.wikipedia.org/wiki/Beta-Pinene,[],[],monoterpene,,C10H16,136.238,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/beta_pinene.png,
,d_limonene,D-Limonene,,terpene,https://en.wikipedia.org/wiki/Limonene,['p_cymene'],[],monoterpene,,C10H16,136.238,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/d_limonene.png,
p-Cymene is a naturally occurring aromatic organic compound. It is classified as an alkylbenzene related to a monoterpene. Its structure consists of a benzene ring para-substituted with a methyl group and an isopropyl group.,p_cymene,p-Cymene,,terpene,https://en.wikipedia.org/wiki/p-Cymene,[],['d_limonene'],monoterpene,,C10H14,134.222,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/p_cymene.png,
,beta_caryophyllene,beta-Caryophyllene,,terpene,https://en.wikipedia.org/wiki/Caryophyllene,['caryophyllene_oxide'],[],sesquiterpene,,C15H24,204.357,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/beta_caryophyllene.png,
,caryophyllene_oxide,Caryophyllene Oxide,,terpene,https://en.wikipedia.org/wiki/Caryophyllene_oxide,[],['beta_caryophyllene'],sesquiterpenoid,,,,,,,
,gamma_terpinene,Gamma Terpinene,,terpene,https://en.wikipedia.org/wiki/Gamma-Terpinene,[],[],monoterpene,,C10H16,136.238,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/gamma_terpinene.png,
,alpha_terpinene,Alpha Terpinene,,terpene,https://en.wikipedia.org/wiki/Alpha-Terpinene,[],[],monoterpene,,C10H16,136.238,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/alpha_terpinene.png,
,alpha_pinene,Alpha-Pinene,,terpene,https://en.wikipedia.org/wiki/Alpha-Pinene,[],[],monoterpene,,C10H16,136.238,0.858,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/alpha_pinene.png,
,beta_myrcene,Beta-Myrcene,,terpene,https://en.wikipedia.org/wiki/Myrcene,[],[],monoterpene,,C10H16,136.238,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/beta_myrcene.png,
Ocimenes are a group of isomeric hydrocarbons.  The ocimenes are monoterpenes found within a variety of plants and fruits.  α-Ocimene and the two β-ocimenes differ in the position of the isolated double bond: it is terminal in the alpha isomer.,ocimene,Ocimene,,terpene,https://en.wikipedia.org/wiki/Ocimene,[],[],monoterpene,,C10H16[1],136.24,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/ocimene.png,
,carene,Carene,,terpene,https://en.wikipedia.org/wiki/Carene,[],[],monoterpene,,C10H16,136.238,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/carene.png,
"Camphene is a bicyclic organic compound.  It is one of the most pervasive monoterpenes. As for other terpenes, it is insoluble in water, flammable, colorless, and has a pungent smell.",camphene,Camphene,,terpene,https://en.wikipedia.org/wiki/Camphene,[],[],monoterpene,,C10H16,136.238,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/camphene.png,
,terpinolene,Terpinolene,,terpene,https://en.wikipedia.org/wiki/Terpinolene,[],[],monoterpene,,C10H16,136.238,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/terpinolene.png,
"Humulene, also known as α-humulene or α-caryophyllene, is a naturally occurring monocyclic sesquiterpene (C15H24), containing an 11-membered ring and consisting of 3 isoprene units containing three nonconjugated C=C double bonds, two of them being triply substituted and one being doubly substituted. It was first found in the essential oils of Humulus lupulus (hops), from which it derives its name. Humulene is an isomer of β-caryophyllene, and the two are often found together as a mixture in many aromatic plants.",humulene,Humulene,,terpene,https://en.wikipedia.org/wiki/Humulene,[],[],sesquiterpene,,C15H24,204.357,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/humulene.png,
"Guaiol or champacol is an organic compound, a sesquiterpenoid alcohol found in several plants, especially in the oil of guaiacum and cypress pine. It is a crystalline solid that melts at 92 °C. Guaiol is one of many terpenes found in Cannabis and it has been associated with anxiolytic activity.",guaiol,Guaiol,,terpene,https://en.wikipedia.org/wiki/Guaiol,[],[],sesquiterpenoid,,C15H26O,222.372,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/guaiol.png,
"Nerolidol, also known as peruviol and penetrol , is a naturally occurring sesquiterpene alcohol. A colorless liquid, it is found in the essential oils of many types of plants and flowers.  There are four isomers of nerolidol', which differ in the geometry about the central double bond and configuration of the hydroxyl-bearing carbon, but most applications use such a mixture.",nerolidol,Nerolidol,,terpene,https://en.wikipedia.org/wiki/Nerolidol,[],[],sesquiterpene,,C15H26O,222.37,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/nerolidol.png,
"Eucalyptol (also called cineole) is a monoterpenoid colorless liquid, and a bicyclic ether. It has a fresh camphor-like odor and a spicy, cooling taste.  It is insoluble in water, but miscible with organic solvents.",eucalyptol,Eucalyptol,,terpene,https://en.wikipedia.org/wiki/Eucalyptol,[],[],monoterpenoid,,C10H18O,154.249,0.9225000000000001,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/eucalyptol.png,
"Linalool () refers to two enantiomers of a naturally occurring terpene alcohol found in many flowers and spice plants. Linalool has multiple commercial applications, the majority of which are based on its pleasant scent (floral, with a touch of spiciness). A colorless oil, linalool is classified as an acyclic monoterpenoid.",linalool,Linalool,,terpene,https://en.wikipedia.org/wiki/Linalool,[],[],monoterpenoid,,C10H18O,154.253,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/linalool.png,
,isopulegol,Isopulegol,,terpene,https://en.wikipedia.org/wiki/Isopulegol,[],[],monoterpenoid,,,,,,,
,alpha_bisabolol,Alpha-Bisabolol,,terpene,https://en.wikipedia.org/wiki/Bisabolol,[],[],sesquiterpenoid,,C15H26O,222.372,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/alpha_bisabolol.png,
"Geraniol is a monoterpenoid and an alcohol. It is the primary component of citronella oil and is a primary component of rose oil, palmarosa oil. It is a colorless oil, although commercial samples can appear yellow.",geraniol,Geraniol,,terpene,https://en.wikipedia.org/wiki/Geraniol,[],['linalool'],sesquiterpenoid,,C10H18O,154.253,,,https://huggingface.co/datasets/cannlytics/cannabis_analytes/blob/main/images/terpenes/geraniol.png,
